,Zip Code,Discharges 2012-2014,Discharge Rate,Discharge 2012-2014
0,10001,159,21.9,159.0
1,10002,592,23.9,592.0
2,10003,130,7.7,130.0
4,10005,6,2.2,6.0
6,10007,14,2.9,14.0
7,10009,534,28.3,534.0
8,10010,43,4.4,43.0
9,10011,127,8.1,127.0
10,10012,31,4.4,31.0
11,10013,42,4.8,42.0
12,10014,32,3.3,32.0
13,10016,173,10.2,173.0
14,10017,30,6.0,30.0
15,10018,23,12.2,23.0
16,10019,105,8.1,105.0
17,10021,88,6.5,88.0
18,10022,40,3.9,40.0
19,10023,141,6.6,141.0
20,10024,166,9.3,166.0
21,10025,578,20.2,578.0
22,10026,407,38.6,407.0
23,10027,648,35.4,648.0
24,10028,72,5.1,72.0
25,10029,1409,60.5,1409.0
26,10030,530,66.1,530.0
27,10031,471,27.2,471.0
28,10032,430,24.1,430.0
29,10033,336,20.7,336.0
30,10034,316,26.5,316.0
31,10035,673,62.2,673.0
32,10036,109,13.4,109.0
33,10037,337,59.5,337.0
34,10038,113,16.2,113.0
35,10039,449,56.8,449.0
36,10040,233,18.8,233.0
37,10044,53,13.1,53.0
39,10065,37,4.1,37.0
40,10075,36,4.1,36.0
41,10128,153,8.4,153.0
42,10280,13,7.2,13.0
43,11004,50,12.6,50.0
44,11005,13,15.1,13.0
45,11101,228,26.7,228.0
46,11102,257,24.0,257.0
47,11103,100,8.9,100.0
48,11104,108,12.8,108.0
49,11105,155,14.2,155.0
50,11106,248,20.6,248.0
52,11354,218,12.5,218.0
53,11355,252,9.7,252.0
54,11356,92,12.4,92.0
55,11357,91,7.5,91.0
56,11358,97,8.4,97.0
58,11360,63,11.0,63.0
59,11361,92,10.4,92.0
60,11362,36,6.4,36.0
61,11363,20,9.2,20.0
62,11364,86,8.0,86.0
63,11365,133,10.3,133.0
64,11366,36,8.4,36.0
65,11367,210,16.6,210.0
66,11368,623,18.0,623.0
67,11369,191,16.5,191.0
68,11370,147,16.3,147.0
69,11372,262,12.8,262.0
70,11373,363,11.5,363.0
71,11374,167,12.4,167.0
72,11375,221,10.5,221.0
73,11377,361,13.2,361.0
74,11378,125,11.8,125.0
75,11379,154,14.1,154.0
76,11385,601,19.9,601.0
77,11411,109,19.9,109.0
78,11412,275,26.0,275.0
79,11413,259,21.9,259.0
80,11414,127,15.9,127.0
81,11415,93,15.6,93.0
82,11416,180,23.5,180.0
83,11417,169,19.0,169.0
84,11418,217,19.6,217.0
85,11419,250,17.7,250.0
86,11420,264,19.0,264.0
87,11421,214,17.6,214.0
88,11422,194,20.2,194.0
89,11423,167,18.8,167.0
90,11426,65,11.3,65.0
91,11427,148,21.3,148.0
92,11428,103,17.7,103.0
93,11429,168,22.1,168.0
95,11432,345,18.0,345.0
96,11433,324,31.3,324.0
97,11434,511,28.0,511.0
98,11435,320,19.5,320.0
99,11436,153,27.5,153.0
100,11691,558,29.8,558.0
101,11692,158,26.2,158.0
102,11693,94,24.8,94.0
103,11694,91,14.3,91.0
104,11697,13,10.5,13.0
105,11201,275,16.7,275.0
106,11203,825,34.9,825.0
107,11204,177,7.2,177.0
108,11205,374,28.4,374.0
109,11206,942,35.5,942.0
110,11207,1441,48.8,1441.0
111,11208,1209,40.7,1209.0
112,11209,244,11.6,244.0
113,11210,417,21.1,417.0
114,11211,431,15.0,431.0
115,11212,1567,59.5,1567.0
116,11213,852,43.7,852.0
117,11214,241,8.8,241.0
118,11215,280,14.0,280.0
119,11216,658,39.2,658.0
120,11217,270,25.0,270.0
121,11218,272,11.7,272.0
122,11219,195,6.9,195.0
123,11220,611,19.7,611.0
124,11221,1571,62.5,1571.0
125,11222,69,6.0,69.0
126,11223,376,15.5,376.0
127,11224,555,37.8,555.0
128,11225,548,30.7,548.0
129,11226,1112,35.9,1112.0
130,11228,106,8.3,106.0
131,11229,317,13.1,317.0
132,11230,293,11.7,293.0
133,11231,234,22.4,234.0
134,11232,169,18.9,169.0
135,11233,1046,49.6,1046.0
136,11234,508,18.9,508.0
137,11235,354,14.1,354.0
138,11236,810,28.0,810.0
139,11237,657,41.9,657.0
140,11238,473,30.3,473.0
141,11239,226,54.6,226.0
143,11251,0,0.0,0.0
144,10451,1125,77.1,1125.0
145,10452,1312,56.1,1312.0
146,10453,1222,50.5,1222.0
147,10454,1075,94.8,1075.0
148,10455,1052,84.5,1052.0
149,10456,1999,74.3,1999.0
150,10457,1644,75.8,1644.0
151,10458,1442,59.3,1442.0
152,10459,1041,69.4,1041.0
153,10460,1088,62.5,1088.0
154,10461,493,32.9,493.0
155,10462,966,40.4,966.0
156,10463,582,27.6,582.0
157,10464,49,36.9,49.0
158,10465,370,29.2,370.0
159,10466,1084,52.6,1084.0
160,10467,1935,65.2,1935.0
161,10468,975,42.7,975.0
162,10469,773,38.6,773.0
163,10470,149,33.1,149.0
164,10471,91,12.7,91.0
165,10472,1119,55.7,1119.0
166,10473,997,55.1,997.0
167,10474,255,36.6,255.0
168,10475,369,26.2,369.0
169,10301,367,30.2,367.0
170,10302,168,28.8,168.0
171,10303,281,34.8,281.0
172,10304,399,31.3,399.0
173,10305,216,17.2,216.0
174,10306,259,15.5,259.0
175,10307,44,10.2,44.0
176,10308,75,9.0,75.0
177,10309,95,9.2,95.0
178,10310,212,28.3,212.0
179,10312,206,11.7,206.0
180,10314,317,12.3,317.0
